column,path,count
AcquisitionDateAndTime_path,ImageDocument/Metadata/Information/Image/AcquisitionDateAndTime,20
Channels_paths,ImageDocument/Metadata/Experiment/ExperimentBlocks/AcquisitionBlock/SubDimensionSetups/RegionsSetup/SubDimensionSetups/TilesSetup/SubDimensionSetups/MultiTrackSetup/Track[0]/Channels/Channel/@Name,20
Channels_paths,ImageDocument/Metadata/Experiment/ExperimentBlocks/AcquisitionBlock/SubDimensionSetups/RegionsSetup/SubDimensionSetups/TilesSetup/SubDimensionSetups/MultiTrackSetup/Track[1]/Channels/Channel/@Name,20
Channels_paths,ImageDocument/Metadata/Experiment/ExperimentBlocks/AcquisitionBlock/SubDimensionSetups/RegionsSetup/SubDimensionSetups/TilesSetup/SubDimensionSetups/MultiTrackSetup/Track[2]/Channels/Channel/@Name,19
CreationDate_path,ImageDocument/Metadata/Information/Document/CreationDate,20
ImageName_path,ImageDocument/Metadata/Experiment/ImageName,20
Microscope_path,ImageDocument/Metadata/HardwareSetting/Configuration/Device[0],20
PixelSizeX_path,ImageDocument/Metadata/Scaling/Items/Distance[0],20
PixelSizeY_path,ImageDocument/Metadata/Scaling/Items/Distance[1],20
SessionName_path,ImageDocument/Metadata/Information/Image/Session/@SessionName,20
StartTime_path,ImageDocument/Metadata/Information/Image/Dimensions/T/StartTime,20
